#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,arandr,"is a UI for screen adjustment."
,bc,"is used for a dropdown calculator."
,usbutils,"is a collection various utilities for querying usb"
,openssh,"is the secure shell premier connectivity tool for remote login"
,lvm2,"is logical volume manager 2 utilities"
,calcurse,"is a lightweight terminal-based calendar."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,testdisk,"is a data recovery tool"
,hdparm,"is a command line utility to set and view parms of hdds"
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,firefox,"is the backups browser"
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controler."
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
,abook,"is an offline addressbook usable by neomutt."
,r,"language and environment for statistical computing and graphics"
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,lxappearance,"the gtk theme switcher"
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,zathura-djvu,"allows djvu compatibility in zathura"
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,neofetch,"displays information about your operating system"
,android-tools,"set of mobile tools for android-based devices"
,atool,"manages and gives information about archives."
,texlive-most,"is a full-set for academia writing"
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs-git,"enables the mounting of cell phones."
G,https://github.com/scyrons/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/scyrons/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/scyrons/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/scyrons/dwm.git,"is the window manager."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,htop,"a powerfull minimal system-monitoring tool"
,anki,"is the memory fortifier for your studies"
,pass,"is a minimal unix-like password manager"
,pass-otp,"is a pass extension for managing one-time-password (OTP) tokens."
,zbar,"to convert a QR code into text for pass"
,cups,"is the printing system and server"
,cups-pdf,"allows pdf printing support for cups"
,sane,"a command-line tool to use scanners"
,qbittorrent,"torrent client with the powerful sequential download function"
,electrum,"a lightweight bitcoin wallet"
,terminus-font,"a modern font designed for high-work productivity"
,ueberzug,"preview images on the terminal"
,rsync,"is the UNIX way to syncronize data"
,monero,"the secure, private, untraceable peer-to-peer currency"
,ranger,"is the simple file-manager"
,translate-shell,"is the proprietary-free suckless translator choice"
,darktable,"is the lightroom alternative for GNU"
A,siji,"for old-school glyphs"
A,sc-im,"is the terminal spreadsheet"
A,stress-ng,"stress test the system in various selectable ways"
A,buku,"is the browser bookmark manager"
A,buku-dmenu,"is the bookmark manager menu"
A,x2x-git,"to control and share pheripherals through ssh"
A,gotop,"is a terminal based graphical activity monitor inspired by gtop and vtop"
A,gallery-dl,"downloads image galleries and collections from several image hosting sites"
A,pacwall-git,"is a live wallpaper that shows the dependency graph and status of installed packages"
A,x3270,"is an IBM 3270 terminal emulator for the x window system"
A,winbox,"Mikrotik RouterOS configurator"
A,bisq,"is the cryptocurrency exchange platform"
A,cointop,"is terminal application for tracking cryptocurrencies"
